indikator_id;kode;nama_indikator;dokumen_nama;pertanyaan_nama;dokumen_tipe;keterangan
364;4;"Program studi memperoleh pengakuan atas efektifitas implementasi SPMI di program studi.";"Sertifikat Akreditasi/Sertifikasi Internasional";"Apakah prodi memiliki pengakuan eksternal atas efektifitas SPMI?";Sertifikat;"Misal: ISO 9001, AUN-QA, akreditasi internasional"
364;4;"Program studi memperoleh pengakuan atas efektifitas implementasi SPMI di program studi.";"Piagam/Penghargaan Mutu Eksternal";"Apakah terdapat penghargaan mutu dari lembaga eksternal?";Penghargaan;
365;5;"Program Studi memiliki dokumen kurikulum yang lengkap";"Kebijakan Pengembangan Kurikulum";"Apakah UPPS memiliki kebijakan tentang penyusunan dan evaluasi kurikulum?";Kebijakan;"SK/Peraturan pimpinan PT tentang pengembangan kurikulum"
365;5;"Program Studi memiliki dokumen kurikulum yang lengkap";"Dokumen Kurikulum Prodi";"Apakah tersedia dokumen kurikulum lengkap yang mencakup profil lulusan dan CPL?";Kurikulum;"Termasuk profil lulusan, CPL, mata kuliah, beban SKS, peta kurikulum"
365;5;"Program Studi memiliki dokumen kurikulum yang lengkap";"SK Penetapan Kurikulum";"Apakah kurikulum ditetapkan secara formal dengan SK?";SK;
365;5;"Program Studi memiliki dokumen kurikulum yang lengkap";"Rencana Pembelajaran Semester (RPS)";"Apakah tersedia RPS untuk setiap mata kuliah yang memuat CPL dan CPMK?";RPS;"RPS mencakup bahan kajian, metode, penilaian"
365;5;"Program Studi memiliki dokumen kurikulum yang lengkap";"Berita Acara Evaluasi Kurikulum";"Apakah evaluasi dan pemutakhiran kurikulum dilaksanakan secara berkala?";"Berita Acara";"Dilengkapi daftar hadir dan notulen pemangku kepentingan"
366;6A;"A. Kompetensi dan kualifikasi dosen penghitung rasio (DPR)
DPR adalah dosen tetap perguruan tinggi p";"Kebijakan Rekrutmen Dosen Tetap";"Apakah UPPS memiliki kebijakan tentang rekrutmen dan seleksi dosen tetap?";Kebijakan;"SK/Peraturan rekrutmen DTPS; memuat kriteria kualifikasi"
366;6A;"A. Kompetensi dan kualifikasi dosen penghitung rasio (DPR)
DPR adalah dosen tetap perguruan tinggi p";"Ijazah Dosen (S2/S3)";"Apakah kualifikasi akademik DPR memenuhi minimal S2 sesuai bidang?";Ijazah;
366;6A;"A. Kompetensi dan kualifikasi dosen penghitung rasio (DPR)
DPR adalah dosen tetap perguruan tinggi p";"SK Penugasan Dosen di Prodi";"Apakah DPR ditugaskan secara formal di prodi dengan SK?";SK;
366;6A;"A. Kompetensi dan kualifikasi dosen penghitung rasio (DPR)
DPR adalah dosen tetap perguruan tinggi p";"Sertifikat Pendidik (Serdos)";"Apakah DPR memiliki sertifikat pendidik profesional?";Sertifikat;
366;6A;"A. Kompetensi dan kualifikasi dosen penghitung rasio (DPR)
DPR adalah dosen tetap perguruan tinggi p";"CV/Biodata Dosen Terkini";"Apakah tersedia CV dosen yang menunjukkan kesesuaian bidang keilmuan?";Biodata;
367;6B;"B. Kecukupan dosen penghitung rasio(DPR)";"Data DPR LKPS Tabel 2-I.2";"Apakah jumlah DPR memenuhi minimal 6 dosen dan rasio mahasiswa:dosen <= 45?";"Data LKPS";"Sesuai format Tabel 2-I.2 LKPS IAPTS 5.1"
367;6B;"B. Kecukupan dosen penghitung rasio(DPR)";"Data Jumlah Mahasiswa Aktif";"Apakah tersedia data jumlah mahasiswa aktif per tahun untuk perhitungan rasio?";Data;
367;6B;"B. Kecukupan dosen penghitung rasio(DPR)";"SK Penugasan DPR";"Apakah penugasan seluruh DPR terdokumentasi dengan SK resmi?";SK;
368;6C;"C. Prosentase jabatan akademik DPR pada Program Studi yang diakreditasi";"SK Jabatan Akademik Dosen";"Apakah DPR memiliki SK jabatan akademik (AA/L/LK/GB)?";SK;
368;6C;"C. Prosentase jabatan akademik DPR pada Program Studi yang diakreditasi";"Data Jabatan Akademik LKPS";"Apakah prosentase jabatan akademik DPR memenuhi standar?";"Data LKPS";"Sesuai format Tabel 2-I.2 LKPS IAPTS 5.1"
369;6D;"D. Dosen Tidak Tetap (PDTT)   yang relevan dengan Program Studi";"Data DTT LKPS Tabel 2-I.3";"Apakah prosentase Dosen Tidak Tetap <= 40%?";"Data LKPS";"Sesuai format Tabel 2-I.3 LKPS IAPTS 5.1"
369;6D;"D. Dosen Tidak Tetap (PDTT)   yang relevan dengan Program Studi";"SK/Kontrak Dosen Tidak Tetap";"Apakah DTT memiliki kontrak resmi dan bidang keahlian relevan prodi?";SK/Kontrak;
370;6-EWMP;"E.Beban kerja DPR";"Laporan Beban Kerja Dosen (BKD)";"Apakah BKD DPR di prodi minimal 6 sks mengajar/semester?";"Laporan BKD";
370;6-EWMP;"E.Beban kerja DPR";"Data EWMP DPR LKPS";"Apakah tersedia data Ekuivalen Waktu Mengajar Penuh (EWMP) DPR?";"Data LKPS";"Sesuai format Tabel 2-I.5 LKPS IAPTS 5.1"
370;6-EWMP;"E.Beban kerja DPR";"SK Mengajar Dosen";"Apakah seluruh DPR memiliki SK mengajar semester berjalan?";SK;
371;7;"Kecukupan Tenaga Kependidikan";"Kebijakan Rekrutmen Tenaga Kependidikan";"Apakah UPPS memiliki kebijakan tentang rekrutmen dan seleksi tendik?";Kebijakan;"SK/Peraturan rekrutmen tendik; memuat kriteria kualifikasi"
371;7;"Kecukupan Tenaga Kependidikan";"Data Tendik LKPS Tabel 2-I.4";"Apakah kecukupan dan kompetensi tendik memenuhi kebutuhan layanan?";"Data LKPS";"Sesuai format Tabel 2-I.4 LKPS IAPTS 5.1"
371;7;"Kecukupan Tenaga Kependidikan";"Sertifikat Kompetensi Tendik";"Apakah tendik memiliki sertifikat kompetensi sesuai tugasnya?";Sertifikat;"Pustakawan, laboran, administrator akademik, dll"
372;8A;"A. Kecukupan & Akses  Sarana dan Prasarana";"Kebijakan Pengelolaan Sarpras";"Apakah terdapat kebijakan yang menjamin kecukupan dan aksesibilitas sarpras?";Kebijakan;
372;8A;"A. Kecukupan & Akses  Sarana dan Prasarana";"Daftar Inventaris Sarana Prasarana";"Apakah tersedia inventaris sarpras yang lengkap dan terkini?";Inventaris;
372;8A;"A. Kecukupan & Akses  Sarana dan Prasarana";"Data Sarpras LKPS Tabel 5.2.2";"Apakah data sarpras dilaporkan sesuai format LKPS?";"Data LKPS";"Prasarana (ruang kuliah, lab) dan sarana (alat lab, LCD, dll)"
373;8B;"B. Implementasi Sistem K3";"Pedoman/SOP Sistem K3";"Apakah tersedia pedoman K3 yang berlaku di UPPS?";Pedoman;
373;8B;"B. Implementasi Sistem K3";"Laporan Pelaksanaan K3";"Apakah terdapat bukti implementasi K3 (inspeksi, pelatihan, APD)?";Laporan;
374;8C;"C. Pembiayaan Pendidikan";"Data Pembiayaan LKPS Tabel 5.1.2";"Apakah tersedia data biaya operasional pendidikan, penelitian, dan PkM?";"Data LKPS";"Sesuai format Tabel 5.1.2.1-5 LKPS IAPTS 5.1"
374;8C;"C. Pembiayaan Pendidikan";"Laporan Keuangan/RKA Prodi";"Apakah tersedia data pembiayaan pendidikan per mahasiswa per tahun?";Laporan;
375;9;"Sistem TIK Pendukung Penylenggaaraan Pendidikan";"Deskripsi/Dokumen Sistem TIK";"Apakah PT/UPPS memiliki sistem TIK yang andal untuk mendukung pendidikan?";Dokumen;
375;9;"Sistem TIK Pendukung Penylenggaaraan Pendidikan";"Bukti Penggunaan Sistem TIK";"Apakah sistem TIK digunakan aktif dalam pengelolaan akademik prodi?";Screenshot;
376;10A;"A. Penetapan standar proses pembelajaran";"Kebijakan Proses Pembelajaran";"Apakah UPPS menetapkan standar proses pembelajaran secara formal?";Kebijakan;"SK/Peraturan tentang standar proses pembelajaran"
376;10A;"A. Penetapan standar proses pembelajaran";"Dokumen Standar Proses Pembelajaran";"Apakah UPPS menetapkan standar proses pembelajaran secara formal?";Standar;
376;10A;"A. Penetapan standar proses pembelajaran";"RPS yang Memuat CPL dan CPMK";"Apakah RPS mencantumkan CPL, CPMK, dan metode pembelajaran yang sesuai?";RPS;
376;10A;"A. Penetapan standar proses pembelajaran";"Laporan Monitoring Kesesuaian RPS";"Apakah dilaksanakan monitoring kesesuaian pembelajaran dengan RPS?";Laporan;"Bukti sahih pemantauan proses pembelajaran"
377;10B;"B. Fleksibelitas Proses Pembelajaran";"Kebijakan Fleksibilitas Pembelajaran";"Apakah tersedia kebijakan fleksibilitas pendidikan (MBKM, RPL, dll)?";Kebijakan;
377;10B;"B. Fleksibelitas Proses Pembelajaran";"Data Mahasiswa Fleksibel/MBKM";"Apakah terdapat data mahasiswa yang menempuh pembelajaran di luar prodi?";Data;
378;10C;"C.Pemenuhan beban belajar  dilakukan di luar program studi";"Data Mahasiswa MBKM (Luar Prodi)";"Apakah tersedia data mahasiswa yang memenuhi beban belajar di luar prodi?";Data;
378;10C;"C.Pemenuhan beban belajar  dilakukan di luar program studi";"SK/MoU/PKS Program MBKM";"Apakah terdapat perjanjian kerjasama untuk program luar prodi?";MoU/PKS;
379;11;"Penerapan Standar Penilaian sesuai Diferensiasi Misi PT";"Pedoman Penilaian Prodi";"Apakah tersedia pedoman penilaian hasil belajar yang ditetapkan secara formal?";Pedoman;
379;11;"Penerapan Standar Penilaian sesuai Diferensiasi Misi PT";"Rubrik Penilaian CPL/CPMK";"Apakah tersedia rubrik penilaian yang selaras dengan CPL dan CPMK?";Rubrik;
379;11;"Penerapan Standar Penilaian sesuai Diferensiasi Misi PT";"Laporan Pelaksanaan Penilaian";"Apakah penilaian dilaksanakan sesuai standar (UTS, UAS, tugas, dll)?";Laporan;
380;12;"Efektifitas Kinerja Program Studi";"Data Kelulusan Tepat Waktu (3 Tahun)";"Apakah tingkat kelulusan tepat waktu memenuhi target prodi?";"Data LKPS";"Sesuai format Tabel 9.1.2.3 LKPS"
380;12;"Efektifitas Kinerja Program Studi";"Data IPK Lulusan (3 Tahun)";"Apakah IPK lulusan rata-rata >= 3,00?";"Data LKPS";"Sesuai format Tabel 9.1.2.1 LKPS"
380;12;"Efektifitas Kinerja Program Studi";"SK Pembimbing Tugas Akhir/Skripsi";"Apakah seluruh mahasiswa TA memiliki SK pembimbing yang ditetapkan?";SK;"SK per semester untuk setiap dosen pembimbing TA"
380;12;"Efektifitas Kinerja Program Studi";"Laporan Evaluasi Kinerja Prodi Tahunan";"Apakah tersedia laporan evaluasi kinerja prodi secara berkala?";Laporan;
381;12C;"C. Program Studi melakukan pengukuran dan evaluasi CPL";"Laporan Evaluasi Ketercapaian CPL";"Apakah UPPS melakukan evaluasi menyeluruh terhadap CPL secara berkala?";Laporan;
381;12C;"C. Program Studi melakukan pengukuran dan evaluasi CPL";"Instrumen Pengukuran CPL";"Apakah tersedia instrumen yang valid untuk mengukur ketercapaian CPL?";Instrumen;
382;13;"Praktek baik Pendidikan Antikorupsi";"Bukti Internalisasi Pendidikan Antikorupsi";"Apakah terdapat bukti internalisasi pendidikan antikorupsi di prodi?";Laporan;
382;13;"Praktek baik Pendidikan Antikorupsi";"Materi/Modul Antikorupsi dalam Kurikulum";"Apakah muatan antikorupsi termuat dalam RPS/kurikulum secara eksplisit?";Dokumen;
383;14;"A.Pengakuan dan apresiasi kompetensi lulusan";"Laporan Tracer Study";"Apakah dilaksanakan tracer study secara berkala minimal setiap 2 tahun?";Laporan;"Mencakup kuesioner, metode, dan hasil analisis"
383;14;"A.Pengakuan dan apresiasi kompetensi lulusan";"Data Keterserapan Lulusan LKPS";"Apakah tersedia data keterserapan lulusan di dunia kerja?";"Data LKPS";"Sesuai format Tabel 9.1.2.4-5 LKPS"
383;14;"A.Pengakuan dan apresiasi kompetensi lulusan";"Bukti Pengakuan/Sertifikasi Kompetensi Lulusan";"Apakah lulusan memperoleh pengakuan/sertifikasi kompetensi?";Sertifikat;
383;14;"A.Pengakuan dan apresiasi kompetensi lulusan";"Data Prestasi Mahasiswa Akademik";"Apakah tersedia data prestasi mahasiswa di tingkat nasional/internasional?";"Data LKPS";"Sesuai format Tabel 9.1.2.2 LKPS"
383;14;"A.Pengakuan dan apresiasi kompetensi lulusan";"Data Prestasi Mahasiswa Non-Akademik";"Apakah tersedia data prestasi non-akademik (olahraga, seni, dll)?";"Data LKPS";"Sesuai format Tabel 9.1.2.2 LKPS"
384;14B;"B. Kepuasan Pengguna Lulusan dan Tindak Lanjut";"Laporan Survei Kepuasan Pengguna Lulusan";"Apakah tersedia hasil survei kepuasan pengguna lulusan (TS-3 s.d TS-1)?";"Laporan Survei";"Mencakup kuesioner, daftar pengguna, dan hasil analisis"
384;14B;"B. Kepuasan Pengguna Lulusan dan Tindak Lanjut";"Bukti Tindak Lanjut Hasil Survei Pengguna";"Apakah UPPS menindaklanjuti hasil survei kepuasan pengguna lulusan?";Laporan;
385;15;"Trend Daya Tarik Prodi dan  Keterserapan lulusan";"Data Peminat dan Mahasiswa Baru (3 Tahun)";"Apakah tren daya tarik prodi (peminat, mahasiswa baru) meningkat?";"Data LKPS";"Sesuai format Tabel 3.1.2.2-3 LKPS"
385;15;"Trend Daya Tarik Prodi dan  Keterserapan lulusan";"Data Masa Tunggu dan Keterserapan Lulusan";"Apakah masa tunggu lulusan memenuhi standar (< 6 bulan)?";"Data Tracer";"Dari hasil tracer study"
385;15;"Trend Daya Tarik Prodi dan  Keterserapan lulusan";"Data Kinerja Lulusan (Kepuasan Pengguna)";"Apakah pengguna lulusan menilai kinerja lulusan baik (etika, kompetensi)?";"Data LKPS";"Sesuai format Tabel 9.1.2.6 LKPS"
386;16A;"A. Penugasan dan peningkatan kompetensi dosen dalam melaksanakan penelitian";"Kebijakan Penelitian UPPS";"Apakah UPPS memiliki kebijakan tertulis tentang pelaksanaan penelitian?";Regulasi;"SK/Peraturan pimpinan PT tentang penelitian; memuat standar minimal"
386;16A;"A. Penugasan dan peningkatan kompetensi dosen dalam melaksanakan penelitian";"SK Penugasan Penelitian Dosen";"Apakah DPR mendapat SK penugasan penelitian secara formal?";SK;
386;16A;"A. Penugasan dan peningkatan kompetensi dosen dalam melaksanakan penelitian";"Bukti Peningkatan Kompetensi Penelitian";"Apakah terdapat bukti pelatihan/seminar metodologi penelitian DPR?";Sertifikat;
387;16B;"B. UPPS memiliki Standar Masukan Penelitian";"Pedoman/Standar Masukan Penelitian UPPS";"Apakah UPPS memiliki standar masukan penelitian yang ditetapkan?";Pedoman;
387;16B;"B. UPPS memiliki Standar Masukan Penelitian";"Data Akses Sarana dan Dana Penelitian";"Apakah tersedia akses memadai terhadap sarana dan pendanaan penelitian?";"Data LKPS";"Sesuai format Tabel 5.1.2.3 LKPS"
387;16B;"B. UPPS memiliki Standar Masukan Penelitian";"Road Map/Rencana Induk Penelitian";"Apakah UPPS memiliki road map/rencana induk penelitian yang relevan?";RENSTRA;"SK Penyusunan Road Map Penelitian; Rencana Induk Pelaksanaan Penelitian"
388;16C;"C. Penerapan sistem berbasis Teknologi Informasi dan Komunikasi (TIK)";"Deskripsi Sistem TIK Penelitian";"Apakah tersedia sistem TIK yang mendukung kegiatan penelitian?";Dokumen;
388;16C;"C. Penerapan sistem berbasis Teknologi Informasi dan Komunikasi (TIK)";"Bukti Sistem Informasi Penelitian";"Apakah sistem informasi penelitian digunakan secara aktif?";Screenshot;
389;17A;"A. Pelaksanaan penelitian yang melibatkan mahasiswa.";"Data Penelitian DPR-Mahasiswa LKPS";"Apakah tersedia data penelitian yang melibatkan mahasiswa?";"Data LKPS";"Sesuai format Tabel 7.2.2 LKPS"
389;17A;"A. Pelaksanaan penelitian yang melibatkan mahasiswa.";"Laporan Penelitian Dosen bersama Mahasiswa";"Apakah terdapat laporan penelitian dosen bersama mahasiswa?";Laporan;"SK Tim Peneliti; Halaman Pengesahan; Laporan Hasil; SPTJB; RAB"
389;17A;"A. Pelaksanaan penelitian yang melibatkan mahasiswa.";"Laporan Monev Penelitian";"Apakah dilaksanakan monitoring dan evaluasi kegiatan penelitian?";Laporan;"Laporan monev; Berita acara; Daftar hadir; Dokumentasi"
390;17B;"B. Hasil-hasil penelitian bidang keilmuan Prodi diintegrasikan kedalam kurikulum";"Bukti Integrasi Penelitian dalam RPS";"Apakah hasil penelitian DPR diintegrasikan dalam RPS/kurikulum?";Dokumen/RPS;
390;17B;"B. Hasil-hasil penelitian bidang keilmuan Prodi diintegrasikan kedalam kurikulum";"Laporan Pengembangan Kurikulum Berbasis Penelitian";"Apakah terdapat laporan pengembangan kurikulum dari hasil penelitian?";Laporan;
390;17B;"B. Hasil-hasil penelitian bidang keilmuan Prodi diintegrasikan kedalam kurikulum";"Data LKPS Tabel 6.2.2 (Integrasi Penelitian)";"Apakah data integrasi penelitian ke pembelajaran dilaporkan di LKPS?";"Data LKPS";"Sesuai format Tabel 6.2.2 LKPS"
391;18A;"A. Hasil analisis terhadap luaran penelitian yang mengadopsi lisensi terbuka";"Data Luaran Penelitian Open Access";"Apakah hasil penelitian DPR diterbitkan dengan akses terbuka (open access)?";Data;
391;18A;"A. Hasil analisis terhadap luaran penelitian yang mengadopsi lisensi terbuka";"Tautan/Bukti Publikasi Open Access";"Apakah tersedia bukti URL/DOI publikasi open access yang dapat diverifikasi?";Tautan;
392;18B;"B. Hasil analisis terhadap ketercapaian luaran penelitian.";"Laporan Ketercapaian Luaran Penelitian";"Apakah luaran penelitian sesuai indikator kinerja dan target yang ditetapkan?";Laporan;
392;18B;"B. Hasil analisis terhadap ketercapaian luaran penelitian.";"Data Luaran Penelitian LKPS Tabel 9.2";"Apakah tersedia data luaran penelitian DPR sesuai format LKPS?";"Data LKPS";"Sesuai format Tabel 9.2.1 LKPS"
392;18B;"B. Hasil analisis terhadap ketercapaian luaran penelitian.";"Data Sitasi Karya Ilmiah DPR";"Apakah terdapat data karya ilmiah DPR yang disitasi dalam 3 tahun terakhir?";"Data LKPS";"Sesuai format Tabel 9.2.2.2 LKPS"
393;18C;"C. Publikasi ilmiah DPR";"Data Publikasi Ilmiah DPR LKPS";"Apakah tersedia data publikasi DPR dalam jurnal/prosiding nasional-internasional?";"Data LKPS";"Sesuai format Tabel 9.2.1 LKPS"
393;18C;"C. Publikasi ilmiah DPR";"Bukti Publikasi (Tautan/DOI/Cetak)";"Apakah terdapat bukti publikasi DPR yang dapat diverifikasi (DOI/URL/cetak)?";Tautan;
393;18C;"C. Publikasi ilmiah DPR";"Data Publikasi Mahasiswa";"Apakah tersedia data publikasi mahasiswa (mandiri/bersama dosen)?";"Data LKPS";"Sesuai format Tabel 9.2.1 LKPS"
394;19;"Luaran Penelitian  Program Studi sesuai dengan fokus diferensi misi perguruan tinggi.";"Laporan Relevansi Luaran Penelitian dengan Misi";"Apakah luaran penelitian sesuai fokus diferensiasi misi PT?";Laporan;
394;19;"Luaran Penelitian  Program Studi sesuai dengan fokus diferensi misi perguruan tinggi.";"Data HKI/Buku/Teknologi Hasil Penelitian DPR";"Apakah DPR menghasilkan HKI, buku ajar, atau teknologi?";Sertifikat/Data;"Paten, Hak Cipta, TTG, Buku ber-ISBN, Book Chapter"
394;19;"Luaran Penelitian  Program Studi sesuai dengan fokus diferensi misi perguruan tinggi.";"Data LKPS Tabel 9.2.2 (Luaran HKI/Produk)";"Apakah data luaran HKI dan produk terdokumentasi di LKPS?";"Data LKPS";"Sesuai format Tabel 9.2.2.4 LKPS"
395;20A;"A. Penugasan dan peningkatan kompetensi dosen dalam melaksanakan PkM";"Kebijakan PkM UPPS";"Apakah UPPS memiliki kebijakan tertulis tentang pelaksanaan PkM?";Regulasi;"SK/Peraturan pimpinan PT tentang PkM; memuat standar minimal"
395;20A;"A. Penugasan dan peningkatan kompetensi dosen dalam melaksanakan PkM";"SK Penugasan PkM Dosen";"Apakah DPR mendapat SK penugasan PkM secara formal?";SK;
395;20A;"A. Penugasan dan peningkatan kompetensi dosen dalam melaksanakan PkM";"Bukti Peningkatan Kompetensi PkM";"Apakah terdapat bukti pelatihan/workshop untuk peningkatan kompetensi PkM DPR?";Sertifikat;
396;20B;"B. UPPS memiliki standar masukan PkM minimal.";"Pedoman/Standar Masukan PkM UPPS";"Apakah UPPS memiliki standar masukan PkM yang ditetapkan secara formal?";Pedoman;
396;20B;"B. UPPS memiliki standar masukan PkM minimal.";"Data Akses Sarana dan Dana PkM";"Apakah tersedia akses memadai terhadap sarana dan pendanaan PkM?";"Data LKPS";"Sesuai format Tabel 5.1.2.4 LKPS"
396;20B;"B. UPPS memiliki standar masukan PkM minimal.";"Road Map/Rencana Induk PkM";"Apakah UPPS memiliki road map/rencana induk PkM yang relevan?";RENSTRA;"SK Penyusunan Road Map PkM; Rencana Induk Pelaksanaan PkM"
397;21A;"A.  Pelaksananan Pengabdian kepada Masyarakat oleh Dosen bersama mahasiswa";"Data PkM Dosen-Mahasiswa LKPS";"Apakah tersedia data PkM yang melibatkan mahasiswa?";"Data LKPS";"Sesuai format Tabel 8.2.2 LKPS"
397;21A;"A.  Pelaksananan Pengabdian kepada Masyarakat oleh Dosen bersama mahasiswa";"Laporan Pelaksanaan PkM bersama Mahasiswa";"Apakah terdapat laporan pelaksanaan PkM yang melibatkan mahasiswa?";Laporan;"SK Tim PkM; Halaman Pengesahan; Laporan Hasil; SPTJB; RAB"
397;21A;"A.  Pelaksananan Pengabdian kepada Masyarakat oleh Dosen bersama mahasiswa";"MoU/PKS Program PkM";"Apakah terdapat perjanjian kerjasama dengan mitra untuk kegiatan PkM?";MoU/PKS;
397;21A;"A.  Pelaksananan Pengabdian kepada Masyarakat oleh Dosen bersama mahasiswa";"Laporan Monev PkM";"Apakah dilaksanakan monitoring dan evaluasi kegiatan PkM?";Laporan;"Laporan monev; Berita acara; Daftar hadir; Dokumentasi"
398;21B;"B. Hasil-hasil PkM diintegrasikan kedalam kurikulum.";"Bukti Integrasi Hasil PkM dalam Kurikulum";"Apakah hasil PkM diintegrasikan dalam pengembangan kurikulum prodi?";Dokumen;
398;21B;"B. Hasil-hasil PkM diintegrasikan kedalam kurikulum.";"Data LKPS Tabel 6.2.2 (Integrasi PkM)";"Apakah data integrasi PkM ke pembelajaran dilaporkan di LKPS?";"Data LKPS";"Sesuai format Tabel 6.2.2 LKPS"
399;22A;"A. Hasil analisis terhadap ketercapaian luaran Pengabdian kepada Masyarakat";"Laporan Ketercapaian Luaran PkM";"Apakah luaran PkM memenuhi target dan indikator kinerja yang ditetapkan?";Laporan;
399;22A;"A. Hasil analisis terhadap ketercapaian luaran Pengabdian kepada Masyarakat";"Data Luaran PkM LKPS Tabel 9.2";"Apakah tersedia data luaran PkM sesuai format LKPS?";"Data LKPS";"Sesuai format Tabel 9.2.1 LKPS"
400;22B;"B. Hasil analisis terhadap luaran Pengabdian kepada Masyarakat berupa rekognisi sesuai bidang keilmu";"Bukti Rekognisi Luaran PkM (HKI/TTG/dll)";"Apakah PkM menghasilkan rekognisi berupa HKI, teknologi tepat guna, dll?";Sertifikat;
400;22B;"B. Hasil analisis terhadap luaran Pengabdian kepada Masyarakat berupa rekognisi sesuai bidang keilmu";"Data Rekognisi Luaran PkM LKPS";"Apakah tersedia data rekognisi luaran PkM yang relevan dengan bidang keilmuan?";"Data LKPS";"Sesuai format Tabel 9.2.2.4 LKPS"
401;23A;"A. Pengakuan kepakaran profesional baik secara individu maupun lembaga dari masyarakat";"Bukti Pengakuan Kepakaran (Undangan/Penghargaan)";"Apakah UPPS/DPR mendapat pengakuan kepakaran dari masyarakat/industri?";Dokumen;"Undangan sebagai narasumber, konsultan, editor jurnal, dll"
401;23A;"A. Pengakuan kepakaran profesional baik secara individu maupun lembaga dari masyarakat";"Data Rekognisi/Prestasi DPR LKPS";"Apakah tersedia data rekognisi kepakaran DPR di LKPS?";"Data LKPS";"Sesuai format Tabel 4.1.2.8 LKPS"
401;23A;"A. Pengakuan kepakaran profesional baik secara individu maupun lembaga dari masyarakat";"Data Kerjasama PkM dengan Eksternal";"Apakah tersedia data kerjasama PkM dengan pihak eksternal (pemda/industri)?";Data;
402;23B;"B. Karya DPR atau bersama mahasiswa yang terekognisi/diterapkan masyarakat.";"Data HKI/Karya Terekognisi Masyarakat";"Apakah DPR/mahasiswa memiliki HKI atau karya yang diterapkan masyarakat?";Sertifikat/Data;"HKI, Paten, Buku ber-ISBN, Teknologi Tepat Guna"
402;23B;"B. Karya DPR atau bersama mahasiswa yang terekognisi/diterapkan masyarakat.";"Bukti Penerapan Teknologi/Karya oleh Masyarakat";"Apakah terdapat bukti nyata penerapan karya oleh masyarakat?";Laporan/Foto;
403;24;"Tata pamong dan tata kelola :
tersedia dokumem struktur organisasi dan tupoksinya serta ketetapan fo";"Dokumen Struktur Organisasi dan Tupoksi UPPS";"Apakah tersedia dokumen struktur organisasi dan uraian tupoksi yang lengkap?";Dokumen;
403;24;"Tata pamong dan tata kelola :
tersedia dokumem struktur organisasi dan tupoksinya serta ketetapan fo";"SK Penetapan Struktur Organisasi";"Apakah struktur organisasi UPPS ditetapkan secara formal dengan SK?";SK;
